Symbol,Sector
GOYALALUM,Basic Materials
GPIL,Basic Materials
GPPL,Industrials
GPTHEALTH,Healthcare
GPTINFRA,Industrials
GRANULES,Healthcare
GRAPHITE,Industrials
GRASIM,Basic Materials
GRAVITA,Industrials
GREAVESCOT,Industrials
GREENLAM,Consumer Cyclical
GREENPANEL,Basic Materials
GREENPLY,Basic Materials
GREENPOWER,Utilities
GRINDWELL,Industrials
GRINFRA,Industrials
GRMOVER,Consumer Defensive
GROBTEA,Consumer Defensive
GRPLTD,Consumer Cyclical
GRSE,Industrials
GRWRHITECH,Basic Materials
GSFC,Basic Materials
GSLSU,Basic Materials
GSPL,Utilities
GSS,Technology
GTECJAINX,Consumer Defensive
GTL,Communication Services
GTLINFRA,Technology
GTPL,Communication Services
GUFICBIO,Healthcare
GUJALKALI,Basic Materials
GUJAPOLLO,Industrials
GUJGASLTD,Utilities
GUJRAFFIA,
GUJTHEM,Healthcare
GULFOILLUB,Basic Materials
GULFPETRO,Energy
GULPOLY,Basic Materials
GVKPIL,Utilities
GVPTECH,Technology
GVT&D,Industrials
HAL,Industrials
HAPPSTMNDS,Technology
HAPPYFORGE,Industrials
HARDWYN,Industrials
HARIOMPIPE,Basic Materials
HARRMALAYA,Consumer Defensive
HARSHA,Industrials
HATHWAY,Communication Services
HATSUN,Consumer Defensive
HAVELLS,Industrials
HAVISHA,Consumer Cyclical
HBLENGINE,Industrials
HBSL,Financial Services
HCC,Industrials
HCG,Healthcare
HCL-INSYS,Technology
HCLTECH,Technology
HDBFS,Financial Services
HDFCAMC,Financial Services
HDFCBANK,Financial Services
HDFCLIFE,Financial Services
HDIL,Real Estate
HEADSUP,Consumer Cyclical
HECPROJECT,Industrials
HEG,Industrials
HEIDELBERG,Basic Materials
HEMIPROP,Real Estate
HERANBA,Basic Materials
HERCULES,Industrials
HERITGFOOD,Consumer Defensive
HEROMOTOCO,Consumer Cyclical
HESTERBIO,Healthcare
HEUBACHIND,Basic Materials
HEXATRADEX,Financial Services
HEXT,Technology
HFCL,Technology
HGINFRA,Industrials
HGS,Industrials
HIKAL,Healthcare
HILTON,Industrials
HIMATSEIDE,Consumer Cyclical
HINDALCO,Basic Materials
HINDCOMPOS,Consumer Cyclical
HINDCON,Basic Materials
HINDCOPPER,Basic Materials
HINDMOTORS,Consumer Cyclical
HINDNATGLS,Consumer Cyclical
HINDOILEXP,Energy
HINDPETRO,Energy
HINDUNILVR,Consumer Defensive
HINDWAREAP,Consumer Cyclical
HINDZINC,Basic Materials
HIRECT,Industrials
HISARMETAL,Basic Materials
HITECH,Basic Materials
HITECHCORP,Consumer Cyclical
HITECHGEAR,Consumer Cyclical
HLEGLAS,Industrials
HLVLTD,Consumer Cyclical
HMAAGRO,Consumer Defensive
HMT,Industrials
HMVL,Communication Services
HNDFDS,Industrials
HOMEFIRST,Financial Services
HONASA,Consumer Defensive
HONAUT,Industrials
HONDAPOWER,Industrials
HOVS,Technology
HPAL,Basic Materials
HPIL,Basic Materials
HPL,Industrials
HSCL,Basic Materials
HTMEDIA,Communication Services
HUBTOWN,Real Estate
HUDCO,Financial Services
HUHTAMAKI,Consumer Cyclical
HYBRIDFIN,Financial Services
HYUNDAI,Consumer Cyclical
ICDSLTD,Real Estate
ICEMAKE,Industrials
ICICIBANK,Financial Services
ICICIGI,Financial Services
ICICIPRULI,Financial Services
ICIL,Consumer Cyclical
ICRA,Financial Services
IDBI,Financial Services
IDEA,Communication Services
IDEAFORGE,Technology
IDFCFIRSTB,Financial Services
IEL,Industrials
IEX,Financial Services
IFBAGRO,Consumer Defensive
IFBIND,Consumer Cyclical
IFCI,Financial Services
IFGLEXPOR,Basic Materials
IGARASHI,Consumer Cyclical
IGCL,Basic Materials
IGIL,Basic Materials
IGL,Utilities
IGPL,Basic Materials
IIFL,Financial Services
IIFLCAPS,Financial Services
IITL,Financial Services
IKIO,Technology
IKS,Healthcare
IL&FSENGG,Industrials
IL&FSTRANS,Industrials
IMAGICAA,Communication Services
IMFA,Basic Materials
IMPAL,Consumer Cyclical
IMPEXFERRO,Basic Materials
INCREDIBLE,Basic Materials
INDBANK,Financial Services
INDGN,Healthcare
INDHOTEL,Consumer Cyclical
INDIACEM,Basic Materials
INDIAGLYCO,Basic Materials
INDIAMART,Communication Services
INDIANB,Financial Services
INDIANCARD,Consumer Cyclical
INDIANHUME,Industrials
INDIASHLTR,Financial Services
INDIGO,Industrials
INDIGOPNTS,Basic Materials
INDIQUBE,Real Estate
INDNIPPON,Consumer Cyclical
INDOAMIN,Basic Materials
INDOBORAX,Basic Materials
INDOCO,Healthcare
INDOFARM,Industrials
INDORAMA,Consumer Cyclical
INDOSTAR,Financial Services
INDOTECH,Industrials
INDOTHAI,Financial Services
INDOUS,Basic Materials
INDOWIND,Utilities
INDRAMEDCO,Healthcare
INDSWFTLAB,Healthcare
INDSWFTLTD,Healthcare
INDTERRAIN,Consumer Cyclical
INDUSINDBK,Financial Services
INDUSTOWER,Communication Services
INFIBEAM,Technology
INFOBEAN,Technology
INFY,Technology
INGERRAND,Industrials
INNOVACAP,Healthcare
INNOVANA,Technology
INOXGREEN,Utilities
INOXINDIA,Industrials
INOXWI-RE,Unknown
INOXWIND,Industrials
INSECTICID,Basic Materials
INSPIRISYS,Technology
INTELLECT,Technology
INTENTECH,Technology
INTERARCH,Industrials
INTLCONV,Industrials
INVENTURE,Financial Services
IOB,Financial Services
IOC,Energy
IOLCP,Healthcare
IONEXCHANG,Industrials
IPCALAB,Healthcare
IPL,Basic Materials
IRB,Industrials
IRCON,Industrials
IRCTC,Industrials
IREDA,Financial Services
IRFC,Financial Services
IRIS,Technology
IRISDOREME,Consumer Cyclical
IRMENERGY,Utilities
ISFT,Consumer Cyclical
ISGEC,Industrials
ISHANCH,Basic Materials
ITC,Consumer Defensive
ITCHOTELS,Consumer Cyclical
ITDC,Consumer Cyclical
ITDCEM,Industrials
ITI,Technology
IVC,Financial Services
IVP,Basic Materials
IXIGO,Consumer Cyclical
IZMO,Technology
J&KBANK,Financial Services
JAGRAN,Communication Services
JAGSNPHARM,Healthcare
JAIBALAJI,Basic Materials
JAICORPLTD,Basic Materials
JAIPURKURT,Consumer Cyclical
JAMNAAUTO,Consumer Cyclical
JASH,Industrials
JAYAGROGN,Basic Materials
JAYBARMARU,Consumer Cyclical
JAYNECOIND,Basic Materials
JAYSREETEA,Consumer Defensive
JBCHEPHARM,Healthcare
JBMA,Consumer Cyclical
JCHAC,Consumer Cyclical
JETFREIGHT,Industrials
JGCHEM,Basic Materials
JHS,Consumer Defensive
JINDALPHOT,Financial Services
JINDALPOLY,Consumer Cyclical
JINDALSAW,Basic Materials
JINDALSTEL,Basic Materials
JINDRILL,Energy
JINDWORLD,Consumer Cyclical
JIOFIN,Financial Services
JISLDVREQS,Industrials
JISLJALEQS,Industrials
JITFINFRA,Industrials
JKCEMENT,Basic Materials
JKIL,Industrials
JKLAKSHMI,Basic Materials
JKPAPER,Basic Materials
